what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1368086290688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086293790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086531797
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086536184
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086536285
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086538620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086540371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368086548344
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086550111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368086552608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1368086559167
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086563082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086563289
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086572179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086583693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086592017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086592181
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086592340
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086592461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086592497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086592681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086602067
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086603412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368086615090
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086617744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368086620922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1368086627539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086628245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086637562
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086637563
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1368086637638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086639953
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086641060
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086643660
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086645567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086645677
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086648725
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086650318
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086650385
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086663082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1368086685899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086689952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086699723
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1368086721797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086721809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086722368
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368086726270
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086727696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086727785
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --stop] return code: 2, no processors found",1368086728576
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --go, /home/user2/spring13/ag3287/CUDoom/software/CUDoom_2/CUDoom_2.elf] return code: 2, no processors found",1368086732173
error,log,,,"Downloading ELF Process failed",1368086732176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086732255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086735022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086741287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086742840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368086744469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368086744469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086744525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086765057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086801250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086815172
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1368086818139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086818155
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368086820874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086822123
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --stop] return code: 2, no processors found",1368086823021
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --go, /home/user2/spring13/ag3287/CUDoom/software/CUDoom_2/CUDoom_2.elf] return code: 2, no processors found",1368086825538
error,log,,,"Downloading ELF Process failed",1368086825541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086825645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086827323
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368086829430
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1368086830287
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1368086830293
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086830829
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1368086833037
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368086837918
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1368086838595
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086839264
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086842361
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1368086842391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086848670
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1368086851876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086851890
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368086854752
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086855976
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --stop] return code: 2, no processors found",1368086856871
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --go, /home/user2/spring13/ag3287/CUDoom/software/CUDoom_2/CUDoom_2.elf] return code: 2, no processors found",1368086859250
error,log,,,"Downloading ELF Process failed",1368086859256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086859332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086860899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086866236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086870752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086873474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086873480
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086877829
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368086883224
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086886441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086886878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368086916804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368086918961
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368086970286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1368086997536
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368087002718
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368087003930
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --stop] return code: 2, no processors found",1368087004827
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --go, /home/user2/spring13/ag3287/CUDoom/software/CUDoom_2/CUDoom_2.elf] return code: 2, no processors found",1368087007239
error,log,,,"Downloading ELF Process failed",1368087007243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087007377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087020253
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1368087022142
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368087024215
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368087028976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087033804
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1368087036632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087036647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368087038308
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1368087039615
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368087040846
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --stop] return code: 2, no processors found",1368087041741
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 11-1]', --device=1, --instance=1, --go, /home/user2/spring13/ag3287/CUDoom/software/CUDoom_2/CUDoom_2.elf] return code: 2, no processors found",1368087044090
error,log,,,"Downloading ELF Process failed",1368087044094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087044209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368087046538
